Rank,Title,Artists
1,I Had Some Help,Post Malone Featuring Morgan Wallen
2,Not Like Us,Kendrick Lamar
3,Million Dollar Baby,Tommy Richman
4,A Bar Song (Tipsy),Shaboozey
5,Beautiful Things,Benson Boone
6,Lose Control,Teddy Swims
7,Like That,"Future, Metro Boomin & Kendrick Lamar"
8,Fortnight,Taylor Swift Featuring Post Malone
9,Espresso,Sabrina Carpenter
10,Too Sweet,Hozier
11,Euphoria,Kendrick Lamar
12,Saturn,SZA
13,We Can't Be Friends (Wait For Your Love),Ariana Grande
14,I Can Do It With A Broken Heart,Taylor Swift
15,Stick Season,Noah Kahan
16,Down Bad,Taylor Swift
17,Lovin On Me,Jack Harlow
18,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
19,Family Matters,Drake
20,Cruel Summer,Taylor Swift
21,Who's Afraid Of Little Old Me?,Taylor Swift
22,Feather,Sabrina Carpenter
23,Meet The Grahams,Kendrick Lamar
24,Miles On It,Marshmello & Kane Brown
25,Get It Sexyy,Sexyy Red
26,One Of Wun,Gunna
27,I Like The Way You Kiss Me,Artemas
28,Yeah Glo!,GloRilla
29,Austin,Dasha
30,But Daddy I Love Him,Taylor Swift
31,Cowgirls,Morgan Wallen Featuring ERNEST
32,Greedy,Tate McRae
33,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
34,"So Long, London",Taylor Swift
35,Agora Hills,Doja Cat
36,My Boy Only Breaks His Favorite Toys,Taylor Swift
37,Where It Ends,Bailey Zimmerman
38,Guilty As Sin?,Taylor Swift
39,Boa,Megan Thee Stallion
40,End Of Beginning,Djo
41,Florida!!!,Taylor Swift Featuring Florence + The Machine
42,The Smallest Man Who Ever Lived,Taylor Swift
43,Gata Only,FloyyMenor X Cris Mj
44,"Good Luck, Babe!",Chappell Roan
45,The Tortured Poets Department,Taylor Swift
46,Whatever She Wants,Bryson Tiller
47,Wanna Be,GloRilla & Megan Thee Stallion
48,Push Ups,Drake
49,Texas Hold 'Em,Beyonce
50,Slow It Down,Benson Boone
51,Redrum,21 Savage
52,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
53,Act II: Date @ 8,4Batz Featuring Drake
54,On One Tonight,Gunna
55,loml,Taylor Swift
56,Wild Ones,Jessie Murph & Jelly Roll
57,Bulletproof,Nate Smith
58,The Alchemy,Taylor Swift
59,FE!N,Travis Scott Featuring Playboi Carti
60,Prada Dem,Gunna Featuring Offset
61,So High School,Taylor Swift
62,Whatsapp (Wassam),Gunna
63,Fresh Out The Slammer,Taylor Swift
64,Made For Me,Muni Long
65,Obsessed,Olivia Rodrigo
66,Neck On A Yacht,Gunna
67,Hakuna Matata,Gunna
68,Halfway To Hell,Jelly Roll
69,Get In With Me,BossMan DLow
70,Illusion,Dua Lipa
71,Back Then Right Now,Tyler Hubbard
72,imgonnagetyouback,Taylor Swift
73,Scared To Start,Michael Marcagi
74,I Can Fix Him (No Really I Can),Taylor Swift
75,La Durango,"Peso Pluma, Junior H & Eslabon Armado"
76,Collage,Gunna
77,Stargazing,Myles Smith
78,Wildflowers And Wild Horses,Lainey Wilson
79,Enough (Miami),Cardi B
80,The Black Dog,Taylor Swift
81,Tucson Too Late,Jordan Davis
82,Hell N Back,Bakar Featuring Summer Walker
83,Clara Bow,Taylor Swift
84,Belong Together,Mark Ambor
85,Wind Up Missin' You,Tucker Wetmore
86,Bandit,Don Toliver
87,Si No Quieres No,Luis R Conriquez x Neton Vega
88,We Ride,Bryan Martin
89,Dirt Cheap,Cody Johnson
90,Lose My Breath,Stray Kids Featuring Charlie Puth
91,Tell Ur Girlfriend,Lay Bankz
92,Spin You Around (1/24),Morgan Wallen
93,The Prophecy,Taylor Swift
94,Back In The A,Gunna
95,Outskirts,Sam Hunt
96,23,Chayce Beckham
97,Wine Into Whiskey,Tucker Wetmore
98,How Did It End?,Taylor Swift
99,Cinderella,"Future, Metro Boomin & Travis Scott"
100,Think I'm In Love With You,Chris Stapleton
